#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-22T17:03:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5daf2e714d4d	
#INFO	-out.max=9999	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/ApJS/193/25&tab:{J/ApJS/193/25/ysos}&tab:{J/ApJS/193/25/table8}&key:source=J/ApJS/193/25/ysos&key:source=J/ApJS/193/25/table8&HTTPPRM:&&-ref=VIZ5daf2e714d4d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/ApJS/193/25/ysos,J/ApJS/193/25/table8
#-order=I
#-out=cl
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_21930025
#Name: J/ApJS/193/25
#Title: The NAN complex. II. MIPS observations (Rebull+, 2011)
#Table	J_ApJS_193_25_ysos:
#Name: J/ApJS/193/25/ysos
#Title: Complete list of YSOs: Spitzer measurements and  YSO criteria
#Column	cl	(A4)	YSO class (2)	[ucd=src.class]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A16)	2MASS name (HHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
cl;RAJ2000;DEJ2000;2MASS
I   ;314.576538;+43.889793;
II  ;314.577118;+43.896206;20581850+4353460
I   ;314.577179;+43.813900;20581860+4348487
II  ;314.581757;+43.898529;20581961+4353545
flat;314.583466;+43.847855;20582002+4350522
II  ;314.584015;+45.309006;
I   ;314.584228;+43.783203;
II  ;314.585541;+45.197052;20582056+4511492
I   ;314.589447;+43.959717;
II  ;314.589844;+43.895817;20582154+4353449
unkn;314.590392;+43.835124;
II  ;314.590607;+44.523975;20582173+4431264
I   ;314.596527;+43.820858;20582317+4349148
II  ;314.598816;+43.428738;20582371+4325430
II  ;314.599152;+43.886475;20582381+4353114
flat;314.599182;+43.856319;20582380+4351227
II  ;314.599945;+43.898502;20582400+4353546
II  ;314.601044;+43.944046;20582424+4356386
flat;314.601288;+43.824112;
I   ;314.601410;+44.028854;20582433+4401437
II  ;314.606476;+43.891281;20582555+4353287
II  ;314.611877;+44.301659;20582685+4418060
II  ;314.612579;+43.889023;20582702+4353201
II  ;314.614227;+43.899571;20582740+4353584
I   ;314.614227;+43.883404;
II  ;314.622559;+43.920147;20582942+4355124
III ;314.626404;+44.798187;20583034+4447533
II  ;314.626953;+43.902679;20583048+4354095
III ;314.629120;+43.004429;20583099+4300158
II  ;314.630127;+44.970356;20583123+4458131
II  ;314.639923;+44.059830;20583359+4403354
I   ;314.641449;+43.910019;
flat;314.645081;+43.914356;20583480+4354516
II  ;314.648804;+44.283218;
III ;314.652313;+45.083988;20583655+4505024
II  ;314.664887;+44.307720;20583957+4418279
flat;314.665558;+44.025799;20583974+4401328
III ;314.665710;+43.174412;20583975+4310281
II  ;314.665772;+44.271225;20583980+4416165
III ;314.675262;+45.023640;20584205+4501249
II  ;314.683014;+44.231289;20584392+4413526
I   ;314.686645;+43.720898;20584482+4343150
III ;314.690216;+44.600021;20584564+4435599
II  ;314.690491;+44.202091;20584573+4412076
I   ;314.691010;+44.477104;
I   ;314.692932;+43.036633;20584627+4302116
I   ;314.695618;+43.864445;20584693+4351517
II  ;314.697510;+44.026302;20584739+4401347
II  ;314.703491;+44.545059;20584883+4432425
II  ;314.704651;+44.271141;20584910+4416162
flat;314.726868;+43.133305;20585450+4308005
II  ;314.731659;+44.285389;20585568+4417071
II  ;314.738831;+44.464283;
II  ;314.761993;+44.738323;20590287+4444179
II  ;314.774262;+43.950886;20590581+4357030
II  ;314.774933;+44.448872;20590597+4426559
II  ;314.777893;+44.306591;20590670+4418238
II  ;314.795471;+45.237724;20591089+4514156
II  ;314.799744;+44.282638;20591195+4416576
II  ;314.805817;+44.231937;20591340+4413550
II  ;314.808411;+44.269978;20591402+4416120
II  ;314.811859;+44.207859;20591484+4412286
III ;314.821686;+44.296230;
II  ;314.822571;+45.111828;20591741+4506427
flat;314.841278;+45.010407;20592186+4500373
III ;314.859711;+44.715076;20592632+4442545
II  ;314.873383;+44.179810;20592957+4410478
II  ;314.873596;+44.284458;20592968+4417041
I   ;314.879700;+44.189144;20593112+4411213
II  ;314.887207;+44.163075;20593293+4409472
II  ;314.887940;+44.669170;20593310+4440090
III ;314.894012;+44.327602;20593457+4419395
II  ;314.909607;+44.168675;20593828+4410072
II  ;314.911011;+44.176937;20593862+4410371
III ;314.911560;+45.287888;20593875+4517163
III ;314.913178;+43.898022;20593917+4353527
III ;314.931335;+45.235130;20594350+4514066
III ;314.932098;+44.315716;20594372+4418565
III ;314.934296;+43.563408;20594424+4333478
II  ;314.941254;+44.179016;20594591+4410443
II  ;314.964752;+43.725132;20595153+4343302
flat;314.974121;+43.718586;20595380+4343064
II  ;314.994690;+45.282391;20595872+4516566
I   ;315.010895;+43.609406;
II  ;315.034424;+43.250885;21000826+4315030
III ;315.036377;+44.009186;21000872+4400331
flat;315.053223;+45.226292;21001275+4513348
I   ;315.096191;+44.910126;21002305+4454364
II  ;315.112244;+44.119766;21002695+4407111
flat;315.113617;+44.707027;21002723+4442251
II  ;315.147949;+45.130283;21003549+4507488
flat;315.156799;+45.256454;
III ;315.161285;+45.293446;21003870+4517365
flat;315.161529;+44.270977;21003877+4416155
flat;315.161865;+44.264916;21003886+4415535
II  ;315.201874;+45.197041;21004843+4511492
III ;315.206940;+43.852207;21004965+4351079
I   ;315.218780;+44.527012;
III ;315.243195;+44.938320;21005834+4456180
III ;315.291931;+43.532562;21011004+4331574
II  ;315.414825;+43.886150;21013952+4353099
II  ;315.419098;+44.990944;21014057+4459274
III ;315.419098;+44.328972;21014057+4419443
III ;315.437470;+45.155521;21014499+4509199
III ;315.510284;+43.512894;21020246+4330463
III ;315.520691;+44.902931;21020495+4454106
III ;315.521332;+43.971592;21020510+4358175
III ;315.530487;+43.481869;21020727+4328549
III ;315.570190;+43.544445;21021683+4332400
III ;315.585999;+44.506386;21022061+4430229
III ;315.590576;+43.821464;21022172+4349173

#Table	J_ApJS_193_25_table8:
#Name: J/ApJS/193/25/table8
#Title: IRAC-selected YSOs not recovered by our MIPS-based search
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A16)	2MASS name (HHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
RAJ2000;DEJ2000;2MASS
deg;deg;
----------;----------;----------------
311.822968;+43.797180;20471748+4347498
311.843170;+43.836414;20472236+4350114
311.848297;+43.744324;20472359+4344397
311.855011;+43.808903;20472521+4348322
311.858368;+43.819164;20472600+4349093
311.862640;+43.820198;20472705+4349129
311.866211;+43.839642;20472789+4350227
311.876679;+43.770054;20473041+4346121
311.892456;+43.789978;20473417+4347239
311.897247;+43.746121;20473531+4344459
311.906769;+43.727150;20473763+4343377
311.908478;+43.824474;20473802+4349281
311.911163;+43.738785;20473867+4344195
311.914551;+43.763359;
311.920837;+43.721836;20474099+4343186
311.921936;+43.728104;
311.935516;+43.702770;20474455+4342098
311.939697;+43.707844;20474554+4342283
311.942444;+43.715076;
311.942444;+43.720612;20474618+4343143
311.943726;+43.739052;20474648+4344202
311.949249;+43.703110;20474780+4342111
311.954681;+43.730351;20474914+4343492
311.961822;+43.735989;
311.969055;+43.753799;20475256+4345137
311.970245;+43.739487;20475285+4344221
311.972626;+44.133118;20475340+4407592
311.975525;+43.734181;20475414+4344031
311.975647;+44.336441;20475415+4420114
311.987640;+43.763779;20475706+4345496
312.017578;+43.753933;20480421+4345141
312.021393;+44.151295;20480515+4409045
312.023438;+43.751877;
312.026977;+43.747528;20480649+4344508
312.027435;+43.826611;
312.032227;+44.345245;20480773+4420428
312.070984;+44.705658;20481705+4442203
312.076782;+43.942833;20481843+4356342
312.112396;+44.769959;20482693+4446119
312.113068;+43.844429;20482714+4350398
312.118591;+43.866978;20482846+4352012
312.120819;+44.735512;20482898+4444079
312.128510;+44.777840;20483085+4446402
312.134033;+45.108139;20483217+4506293
312.140808;+43.782368;20483378+4346566
312.151428;+44.115208;20483634+4406548
312.155792;+43.732067;20483739+4343554
312.166687;+42.876312;20484001+4252345
312.176086;+43.826099;20484225+4349341
312.176697;+43.268837;20484239+4316078
312.181732;+44.753952;
312.187256;+44.363575;20484492+4421487
312.188080;+44.769108;
312.199127;+44.878315;20484775+4452416
312.199219;+43.605862;20484784+4336214
312.199738;+44.696404;20484791+4441471
312.214600;+44.742100;20485149+4444316
312.220245;+42.929142;20485284+4255450
312.223846;+42.926899;
312.226135;+43.938126;20485426+4356172
312.230804;+44.896210;20485540+4453467
312.238464;+44.266510;20485723+4415595
312.240234;+42.916390;20485771+4254594
312.241638;+44.889820;20485801+4453233
312.244751;+45.221149;20485878+4513164
312.245209;+43.759327;20485885+4345336
312.248688;+45.208199;20485970+4512297
312.253357;+45.282673;
312.268219;+43.640217;
312.268768;+43.688030;
312.278351;+44.555153;20490681+4433187
312.288666;+45.153126;20490927+4509112
312.300568;+45.285824;
312.302429;+45.234318;20491256+4514036
312.303467;+45.262882;20491280+4515462
312.305695;+43.842079;20491339+4350314
312.309753;+43.393120;20491434+4323351
312.310303;+44.247211;20491447+4414498
312.314545;+44.548931;20491550+4432563
312.315277;+44.641438;20491566+4438291
312.315643;+43.892288;
312.320465;+42.913864;20491689+4254498
312.322418;+43.966167;20491737+4357582
312.322937;+44.546677;20491751+4432482
312.327911;+44.754128;20491868+4445151
312.331329;+43.668087;20491951+4340053
312.331482;+45.278461;20491957+4516421
312.335113;+45.289837;20492042+4517233
312.340546;+43.045532;20492173+4302442
312.343964;+42.866215;20492251+4251583
312.358612;+44.591610;20492606+4435298
312.359924;+42.847206;
312.364441;+43.556595;20492745+4333238
312.370270;+45.261761;20492885+4515419
312.377655;+42.838886;20493064+4250200
312.387573;+44.198406;
312.391754;+44.099731;
312.399597;+44.512531;20493586+4430450
312.406342;+44.120380;20493754+4407130
312.411469;+44.149296;20493873+4408576
312.411865;+42.874821;
312.414520;+45.042599;20493943+4502339
312.419311;+42.975952;
312.446411;+44.032970;
312.467468;+44.247925;20495218+4414525
312.467743;+44.774063;20495223+4446267
312.473785;+44.279911;
312.479706;+44.774303;20495514+4446275
312.482819;+44.069847;20495586+4404114
312.487854;+44.266338;
312.494629;+44.096428;20495872+4405471
312.517242;+44.891632;20500413+4453298
312.518555;+43.670601;20500447+4340141
312.521698;+44.300209;20500520+4418007
312.524475;+45.229294;20500585+4513455
312.527039;+45.187332;20500646+4511143
312.527710;+44.565121;20500664+4433546
312.536926;+44.974072;
312.538147;+44.496372;20500916+4429468
312.538940;+44.895691;20500932+4453449
312.542481;+45.078426;20501018+4504423
312.542816;+42.878033;
312.545837;+42.879936;
312.546112;+44.942799;20501106+4456342
312.549744;+44.994381;
312.559052;+44.722950;20501415+4443225
312.563660;+45.312794;
312.564911;+44.881084;20501556+4452521
312.566284;+43.304359;20501592+4318156
312.572540;+44.523807;20501740+4431255
312.579590;+44.409138;20501909+4424331
312.579895;+44.832069;20501917+4449557
312.591766;+42.858795;20502199+4251319
312.593109;+44.070892;20502236+4404154
312.598236;+44.857269;20502359+4451264
312.598633;+44.919468;20502367+4455103
312.599915;+45.029610;20502396+4501466
312.602112;+42.856136;20502448+4251222
312.604156;+44.191624;
312.604675;+44.976818;20502506+4458366
312.606476;+43.767689;20502554+4346036
312.620911;+44.909187;
312.628174;+44.308876;20503074+4418319
312.628815;+44.917622;
312.630005;+44.918766;
312.632019;+43.684410;20503169+4341038
312.641815;+44.370201;20503409+4422130
312.641876;+44.931683;20503403+4455542
312.650696;+44.320370;20503617+4419133
312.652954;+43.878883;20503671+4352444
312.653992;+43.591175;20503695+4335284
312.654053;+44.347179;20503699+4420498
312.661743;+44.725258;20503883+4443310
312.662994;+44.510590;20503914+4430382
312.672760;+44.419930;20504145+4425121
312.676758;+44.899727;20504244+4453596
312.677856;+43.743279;20504267+4344361
312.678284;+44.365505;20504280+4421554
312.682495;+44.376408;
312.688446;+44.253929;20504524+4415143
312.693329;+44.520103;20504639+4431122
312.693787;+44.413193;20504650+4424478
312.700409;+44.560211;20504810+4433367
312.701050;+45.008858;
312.702209;+44.559292;20504854+4433333
312.702393;+44.955971;20504857+4457215
312.705933;+44.557804;20504941+4433281
312.709503;+44.405880;20505028+4424211
312.709656;+44.558754;20505031+4433315
312.710571;+44.418602;20505054+4425070
312.711822;+43.056458;20505085+4303231
312.712097;+44.427998;20505090+4425408
312.712982;+45.020741;
312.721039;+44.838844;20505304+4450198
312.721527;+44.843468;20505317+4450363
312.721863;+44.413883;20505326+4424502
312.724304;+44.296986;20505384+4417495
312.724365;+44.361061;20505386+4421398
312.725861;+44.635628;20505418+4438083
312.726257;+44.297936;20505429+4417526
312.731567;+44.406769;20505559+4424245
312.731628;+44.966743;
312.734283;+45.069752;20505624+4504110
312.738892;+44.394959;
312.739044;+44.405117;20505736+4424181
312.739441;+44.412739;20505747+4424456
312.756042;+44.259567;20510146+4415344
312.759125;+43.326443;20510217+4319353
312.760712;+44.499790;20510257+4429594
312.764099;+45.201675;
312.774597;+44.396458;20510591+4423472
312.778076;+44.607651;20510672+4436275
312.780121;+44.721058;20510721+4443160
312.782043;+44.688423;20510768+4441185
312.794678;+43.103962;20511071+4306142
312.796112;+44.290222;20511107+4417246
312.799835;+44.653988;20511194+4439141
312.807556;+44.531410;20511380+4431532
312.808227;+45.045288;20511395+4502433
312.809845;+45.310513;
312.811676;+44.172958;20511479+4410226
312.816956;+44.250000;20511606+4415000
312.826508;+44.848240;
312.826874;+44.554645;20511845+4433165
312.829224;+44.405468;20511901+4424198
312.838654;+44.586697;20512129+4435123
312.848572;+44.526882;20512365+4431369
312.848938;+44.232792;20512376+4413581
312.849701;+43.605492;20512392+4336197
312.851013;+43.596634;20512424+4335480
312.855316;+44.071995;20512527+4404191
312.855743;+43.393803;
312.856720;+44.586197;20512562+4435105
312.859253;+44.509514;20512621+4430345
312.859467;+44.283211;20512629+4416598
312.864777;+44.875427;20512753+4452319
312.865356;+45.059196;
312.868012;+44.186123;20512833+4411097
312.870789;+44.494217;20512900+4429392
312.877258;+45.121101;20513054+4507158
312.878143;+45.062286;
312.881836;+44.216999;20513164+4413013
312.885651;+44.215427;20513255+4412555
312.895416;+44.377205;20513488+4422381
312.900238;+45.027229;20513605+4501380
312.907959;+44.729221;20513789+4443453
312.908905;+44.263523;20513811+4415493
312.911316;+43.095383;20513872+4305435
312.912292;+44.860054;20513896+4451363
312.917481;+44.826527;20514021+4449357
312.917938;+44.262859;20514027+4415463
312.919250;+44.407116;20514063+4424259
312.930023;+45.080143;
312.942261;+44.385807;20514614+4423090
312.946899;+45.136581;20514726+4508118
312.947571;+44.535626;20514742+4432082
312.949707;+44.644661;20514792+4438408
312.950897;+44.657520;20514823+4439270
312.956177;+45.125877;
312.956329;+45.107216;
312.963562;+44.253422;20515123+4415122
312.963867;+43.348545;20515132+4320548
312.972168;+44.547111;20515332+4432497
312.975098;+44.300579;20515402+4418021
312.976593;+45.102016;20515434+4506073
312.977722;+44.935207;20515466+4456071
312.985077;+44.555168;20515641+4433185
312.995300;+44.471954;20515887+4428191
313.006683;+44.186237;20520157+4411106
313.009613;+45.334099;20520231+4520029
313.009918;+45.098862;
313.014496;+44.529236;20520346+4431451
313.015015;+43.544067;20520360+4332386
313.015686;+44.885418;20520376+4453075
313.016907;+45.218368;
313.017120;+44.344383;20520406+4420384
313.017456;+44.349896;
313.020538;+43.904644;20520493+4354166
313.022003;+43.255032;
313.023193;+44.941067;
313.024719;+43.236454;20520595+4314110
313.025513;+44.656364;20520616+4439230
313.030304;+44.407044;20520728+4424252
313.033508;+45.344097;
313.036835;+43.616428;20520883+4336591
313.039581;+43.285366;
313.043488;+43.279949;20521044+4316479
313.046722;+45.131973;
313.047058;+43.983414;20521128+4359005
313.050873;+44.438503;20521221+4426187
313.051910;+44.518829;20521245+4431078
313.052124;+44.608295;20521251+4436299
313.053619;+44.235844;20521285+4414091
313.059082;+44.675865;
313.060852;+44.029415;20521463+4401457
313.063355;+44.614864;20521523+4436538
313.070526;+44.141213;20521693+4408282
313.072632;+43.420776;20521754+4325154
313.073212;+44.673901;20521760+4440263
313.075928;+44.565987;20521823+4433576
313.080139;+43.243404;20521923+4314359
313.082489;+44.146477;
313.087433;+43.913757;20522098+4354496
313.088135;+45.197460;
313.092804;+44.524326;20522228+4431272
313.102631;+43.267250;20522469+4316031
313.106415;+44.481903;20522553+4428546
313.106537;+44.486626;20522559+4429119
313.108002;+44.422741;20522592+4425217
313.112152;+45.153503;20522691+4509126
313.119568;+44.641029;20522869+4438279
313.120819;+43.232552;20522896+4313573
313.123383;+44.571819;20522959+4434185
313.127350;+43.145328;20523056+4308433
313.128296;+44.509823;20523082+4430349
313.133820;+44.473366;20523214+4428243
313.134155;+44.754482;20523214+4445162
313.134552;+44.148823;20523229+4408557
313.137817;+44.304791;20523309+4418175
313.141357;+44.079094;
313.142731;+44.187019;
313.143677;+44.219811;20523446+4413113
313.148590;+43.249184;20523565+4314570
313.150085;+45.325333;20523601+4519314
313.153503;+43.501862;
313.171814;+44.364849;20524123+4421537
313.173187;+44.622135;20524157+4437196
313.173279;+44.324234;20524161+4419274
313.177612;+44.178749;20524262+4410436
313.183533;+43.220821;
313.184296;+44.297298;20524423+4417504
313.188965;+44.232910;20524533+4413584
313.190460;+44.533642;20524570+4432013
313.192017;+44.652748;20524609+4439100
313.192169;+44.178463;20524609+4410426
313.194763;+43.514462;
313.195831;+44.472343;20524699+4428205
313.198486;+44.643749;20524760+4438375
313.200806;+44.809959;20524819+4448359
313.203125;+43.517494;
313.203217;+43.507027;20524876+4330253
313.204010;+44.676262;20524896+4440346
313.204468;+43.515678;20524908+4330564
313.204529;+44.255577;20524907+4415202
313.211578;+43.287975;
313.214081;+44.343254;20525138+4420355
313.214203;+44.148556;
313.219788;+44.559094;
313.221741;+43.958721;20525320+4357313
313.228851;+44.826611;20525492+4449358
313.230102;+43.993744;20525524+4359376
313.230621;+44.282627;20525534+4416574
313.231720;+43.945454;20525563+4356437
313.234802;+44.477459;20525637+4428388
313.244232;+43.140442;
313.244263;+45.018356;20525860+4501060
313.250946;+44.680466;20530023+4440494
313.252350;+44.609901;20530058+4436357
313.257690;+44.438644;20530185+4426194
313.258697;+44.770672;20530207+4446143
313.261841;+44.614883;20530282+4436532
313.264618;+44.539162;20530350+4432209
313.264954;+44.452011;20530360+4427072
313.265137;+44.593723;20530362+4435372
313.269318;+44.663075;20530463+4439470
313.271912;+44.241470;20530525+4414294
313.280823;+44.243866;20530739+4414379
313.284821;+44.286270;20530835+4417107
313.286072;+44.547657;20530865+4432517
313.288361;+44.354504;20530918+4421162
313.295593;+44.146744;20531095+4408483
313.295685;+44.048798;
313.296387;+45.215000;
313.299133;+44.614487;20531177+4436522
313.300476;+44.391953;20531210+4423312
313.302094;+44.590179;20531249+4435246
313.302582;+44.296429;
313.310577;+44.476593;20531454+4428357
313.312103;+44.576279;20531489+4434345
313.313660;+43.709122;20531528+4342328
313.315613;+44.492489;20531574+4429329
313.316132;+44.496559;20531587+4429477
313.319488;+44.681725;20531670+4440542
313.324554;+44.301216;20531788+4418045
313.326355;+43.664516;20531831+4339528
313.336456;+44.466904;20532070+4428008
313.338257;+44.587860;20532119+4435163
313.338318;+44.889286;20532121+4453214
313.344116;+44.477512;20532259+4428388
313.351166;+44.511417;20532432+4430407
313.353851;+44.480381;20532493+4428494
313.361908;+44.398609;20532685+4423550
313.367889;+44.956673;20532829+4457240
313.368500;+43.948322;
313.369385;+43.420204;20532864+4325127
313.370392;+44.354786;20532889+4421173
313.371094;+44.504929;20532909+4430181
313.372192;+44.458241;20532933+4427295
313.372498;+44.673023;20532940+4440230
313.375122;+44.522972;
313.376099;+44.486824;20533026+4429125
313.377777;+44.428516;20533066+4425427
313.382019;+43.954803;
313.382202;+45.259815;20533174+4515353
313.382263;+45.024574;20533175+4501286
313.383301;+44.786823;20533199+4447123
313.383575;+44.485001;20533205+4429060
313.385101;+44.550827;20533241+4433031
313.385742;+44.475780;20533257+4428328
313.386352;+44.698494;20533271+4441546
313.387268;+44.449577;20533294+4426584
313.388031;+44.436047;20533312+4426098
313.390381;+44.785885;20533370+4447091
313.394287;+44.481049;20533464+4428517
313.395904;+43.936077;
313.397430;+45.074810;
313.397858;+44.582222;
313.398773;+44.372845;20533570+4422224
313.399017;+44.477989;20533576+4428408
313.399200;+44.513210;20533581+4430475
313.406372;+44.836906;20533752+4450130
313.409515;+44.247406;20533828+4414507
313.410644;+44.428749;20533854+4425435
313.411438;+44.441639;20533875+4426301
313.411529;+44.376820;20533876+4422364
313.416779;+44.582020;20534001+4434555
313.420715;+44.442646;20534099+4426334
313.422760;+44.528538;20534145+4431427
313.424744;+43.955795;
313.424866;+44.232616;20534195+4413573
313.427521;+43.898228;20534261+4353536
313.430542;+44.593342;20534330+4435360
313.431854;+45.026874;20534362+4501365
313.432190;+44.676556;20534372+4440356
313.435669;+43.627438;20534457+4337390
313.437042;+44.020870;20534490+4401151
313.437408;+44.070476;20534496+4404139
313.441254;+44.087349;20534591+4405146
313.442749;+44.270641;
313.443634;+43.805531;
313.445801;+44.144909;20534697+4408417
313.446594;+44.445156;20534719+4426426
313.447876;+44.306427;20534749+4418231
313.448700;+44.487827;
313.448822;+43.880669;20534766+4352506
313.450348;+43.827477;
313.453064;+45.240215;20534875+4514248
313.453613;+44.814289;20534887+4448513
313.455872;+43.936241;
313.456299;+43.938183;20534947+4356181
313.457245;+45.247555;20534976+4514512
313.457611;+44.362083;20534982+4421434
313.461060;+44.211822;20535065+4412426
313.462036;+43.866219;20535085+4351586
313.462708;+44.834965;20535105+4450060
313.464233;+44.338284;20535140+4420177
313.465210;+44.422909;
313.467285;+43.980274;20535215+4358493
313.472015;+44.141182;20535334+4408287
313.472290;+43.206692;20535335+4312243
313.477661;+44.581028;20535464+4434517
313.479004;+44.320011;
313.481384;+43.771614;20535552+4346180
313.482666;+44.802811;20535583+4448102
313.483917;+43.739323;20535614+4344218
313.489685;+44.342445;20535751+4420325
313.489838;+44.660587;20535755+4439382
313.489868;+44.447849;20535756+4426525
313.493103;+44.506714;20535832+4430240
313.493927;+44.426651;20535854+4425358
313.494537;+44.582741;20535867+4434579
313.496796;+43.956650;
313.497620;+43.960613;
313.498108;+44.586388;20535953+4435111
313.499237;+44.464600;20535982+4427523
313.502472;+45.034248;20540057+4502033
313.503632;+44.248749;20540088+4414553
313.506805;+44.223091;
313.508911;+44.402359;20540214+4424084
313.509338;+44.179424;
313.509705;+44.286255;20540231+4417103
313.510071;+44.138203;20540242+4408174
313.517304;+44.325760;20540415+4419331
313.523743;+44.557617;20540568+4433274
313.524048;+44.260242;20540575+4415366
313.529175;+44.082649;20540700+4404577
313.529663;+45.161335;
313.530334;+44.397869;20540727+4423523
313.530609;+44.336613;20540734+4420121
313.530762;+44.896526;20540739+4453475
313.531342;+44.382401;20540755+4422566
313.532959;+44.932651;20540790+4455577
313.537964;+43.892788;20540910+4353343
313.538330;+44.586067;20540919+4435099
313.538696;+44.934620;20540928+4456047
313.539001;+44.060352;
313.542297;+44.517513;20541013+4431029
313.542816;+44.358902;20541026+4421324
313.543518;+44.863312;
313.544708;+44.363602;20541072+4421493
313.545837;+43.916344;20541099+4354590
313.548218;+44.870525;
313.548248;+43.819317;20541159+4349096
313.556915;+44.902065;20541366+4454067
313.558441;+44.160644;20541402+4409386
313.560669;+44.894268;20541457+4453394
313.567291;+43.922638;20541617+4355216
313.571411;+44.514812;20541715+4430534
313.571991;+44.872414;
313.577087;+44.348515;20541850+4420548
313.578888;+44.325794;20541895+4419330
313.587189;+45.159740;
313.587219;+44.532673;20542094+4431573
313.589081;+44.591854;20542137+4435304
313.590271;+44.167908;20542167+4410045
313.591248;+44.336941;20542190+4420128
313.594513;+44.156273;
313.595154;+44.406925;20542283+4424252
313.596314;+44.473659;20542310+4428255
313.596588;+44.441429;
313.598785;+44.420700;20542370+4425144
313.605621;+44.570167;20542534+4434125
313.608856;+44.872189;
313.616242;+44.002724;20542789+4400098
313.616699;+44.359684;20542801+4421349
313.618530;+44.225582;20542842+4413322
313.623199;+44.162228;
313.625275;+44.150524;20543005+4409020
313.628143;+44.743321;20543076+4444358
313.646179;+44.525631;20543509+4431325
313.646393;+44.598453;20543511+4435542
313.650482;+43.653923;20543612+4339143
313.658325;+43.764053;20543799+4345505
313.659637;+44.375805;20543829+4422329
313.659851;+44.398621;20543838+4423551
313.672272;+44.337463;20544134+4420149
313.672485;+44.290764;20544138+4417269
313.675110;+45.281506;20544203+4516532
313.677399;+44.176830;
313.684448;+45.049801;20544425+4503001
313.690277;+44.728291;20544566+4443418
313.690460;+44.058025;20544571+4403290
313.700958;+43.183403;20544823+4311004
313.704132;+44.352001;20544898+4421072
313.708038;+43.563324;20544993+4333480
313.714539;+44.705852;20545149+4442210
313.716736;+43.836883;20545202+4350128
313.728302;+44.480839;20545479+4428510
313.736389;+43.923294;
313.743713;+43.696320;20545848+4341468
313.760101;+44.414684;20550244+4424529
313.760468;+44.408318;20550250+4424300
313.764374;+43.535423;20550342+4332077
313.776337;+43.189655;
313.780304;+44.288311;20550727+4417181
313.781738;+43.707031;20550762+4342254
313.783508;+43.742557;20550806+4344332
313.796509;+43.856850;20551119+4351248
313.804993;+44.238132;20551318+4414177
313.814880;+43.456741;20551559+4327243
313.817230;+44.171013;20551612+4410158
313.820892;+43.832523;20551705+4349574
313.830841;+44.686001;20551939+4441096
313.837158;+44.714489;20552091+4442521
313.837311;+43.739460;20552097+4344219
313.842163;+43.988651;
313.848206;+44.073849;20552358+4404261
313.855300;+44.077200;20552532+4404394
313.856964;+44.040272;
313.857819;+44.002159;
313.861023;+43.998005;
313.863922;+43.304775;20552734+4318173
313.868500;+43.985272;
313.872650;+44.011833;
313.872955;+44.021316;
313.873261;+44.109116;20552959+4406329
313.876221;+43.997334;20553027+4359509
313.883362;+44.084656;20553201+4405049
313.889374;+43.987823;20553345+4359162
313.902588;+43.350834;20553659+4321034
313.911652;+44.948814;20553880+4456560
313.912689;+43.766911;
313.916596;+42.956703;
313.919647;+44.095444;
313.920776;+44.122906;20554098+4407224
313.920837;+44.099953;
313.921509;+44.112480;
313.922119;+44.651978;20554129+4439071
313.924011;+44.106792;
313.937378;+44.126274;
313.940277;+43.563641;20554565+4333491
313.943909;+44.084091;
313.945953;+44.099560;20554702+4405582
313.953674;+43.719601;20554889+4343105
313.957733;+44.023079;20554986+4401230
313.962433;+44.237213;
313.963226;+44.249889;20555115+4414597
313.967041;+43.108868;20555211+4306319
313.970093;+44.427731;
313.971100;+43.551529;20555305+4333056
313.972260;+42.857616;20555338+4251280
313.974915;+44.223827;
313.975891;+44.225483;20555419+4413318
313.978119;+44.210403;20555475+4412371
313.987732;+44.341869;20555707+4420306
313.992035;+44.722065;20555809+4443194
313.994965;+43.590710;20555880+4335265
314.016571;+43.641575;20560398+4338296
